Birth_rate_count_id,Region_id,Region_cod,Region_desc,Year,Birth Rate,Birth Count,Type_Birth_Id,Type_birth_desc
1,1,US,United States,2000,65.9,4058814,1,Birth
2,2,AL,Alabama,2000,65.1,63299,1,Birth
3,3,AK,Alaska,2000,70.7,9974,1,Birth
4,4,AZ,Arizona,2000,79,85273,1,Birth
5,5,AR,Arkansas,2000,67.1,37783,1,Birth
6,6,CA,California,2000,70.2,531959,1,Birth
7,7,CO,Colorado,2000,67.6,65438,1,Birth
8,8,CT,Connecticut,2000,59.9,43026,1,Birth
9,9,DE,Delaware,2000,63,11051,1,Birth
10,10,DC,District of Columbia,2000,53,7666,1,Birth
11,11,FL,Florida,2000,63.7,204125,1,Birth
12,12,GA,Georgia,2000,69.8,132644,1,Birth
13,13,HI,Hawaii,2000,69.1,17551,1,Birth
14,14,ID,Idaho,2000,73.3,20366,1,Birth
15,15,IL,Illinois,2000,67.4,185036,1,Birth
16,16,IN,Indiana,2000,66.4,87699,1,Birth
17,17,IA,Iowa,2000,62.3,38266,1,Birth
18,18,KS,Kansas,2000,68.9,39666,1,Birth
19,19,KY,Kentucky,2000,62.4,56029,1,Birth
20,20,LA,Louisiana,2000,67.3,67898,1,Birth
21,21,ME,Maine,2000,50.3,13603,1,Birth
22,22,MD,Maryland,2000,62.4,74316,1,Birth
23,23,MA,Massachusetts,2000,57,81614,1,Birth
24,24,MI,Michigan,2000,63.1,136171,1,Birth
25,25,MN,Minnesota,2000,62.2,67604,1,Birth
26,26,MS,Mississippi,2000,69.1,44075,1,Birth
27,27,MO,Missouri,2000,63.1,76463,1,Birth
28,28,MT,Montana,2000,58.8,10957,1,Birth
29,29,NE,Nebraska,2000,67.3,24646,1,Birth
30,30,NV,Nevada,2000,73.3,30829,1,Birth
31,31,NH,New Hampshire,2000,54.1,14609,1,Birth
32,32,NJ,New Jersey,2000,63.8,115632,1,Birth
33,33,NM,New Mexico,2000,69.4,27223,1,Birth
34,34,NY,New York,2000,61.2,258737,1,Birth
35,35,NC,North Carolina,2000,67.7,120311,1,Birth
36,36,ND,North Dakota,2000,56.3,7676,1,Birth
37,37,OH,Ohio,2000,63.6,155472,1,Birth
38,38,OK,Oklahoma,2000,67.6,49782,1,Birth
39,39,OR,Oregon,2000,63.6,45804,1,Birth
40,40,PA,Pennsylvania,2000,57.1,146281,1,Birth
41,41,RI,Rhode Island,2000,53.6,12505,1,Birth
42,42,SC,South Carolina,2000,62.9,56114,1,Birth
43,43,SD,South Dakota,2000,65.3,10345,1,Birth
44,44,TN,Tennessee,2000,63.5,79611,1,Birth
45,45,TX,Texas,2000,76.8,363414,1,Birth
46,46,UT,Utah,2000,89.3,47353,1,Birth
47,47,VT,Vermont,2000,49.5,6500,1,Birth
48,48,VA,Virginia,2000,62.2,98938,1,Birth
49,49,WA,Washington,2000,62.6,81036,1,Birth
50,50,WV,West Virginia,2000,56,20865,1,Birth
51,51,WI,Wisconsin,2000,59.8,69326,1,Birth
52,52,WY,Wyoming,2000,59.6,6253,1,Birth
53,1,US,United States,2001,65.1,4025933,1,Birth
54,2,AL,Alabama,2001,62.5,60454,1,Birth
55,3,AK,Alaska,2001,71.4,10003,1,Birth
56,4,AZ,Arizona,2001,77.5,85597,1,Birth
57,5,AR,Arkansas,2001,65.8,37010,1,Birth
58,6,CA,California,2001,68.8,527759,1,Birth
59,7,CO,Colorado,2001,68.2,67007,1,Birth
60,8,CT,Connecticut,2001,59.5,42648,1,Birth
61,9,DE,Delaware,2001,60.9,10749,1,Birth
62,10,DC,District of Columbia,2001,53.1,7625,1,Birth
63,11,FL,Florida,2001,63.1,205793,1,Birth
64,12,GA,Georgia,2001,69.3,133526,1,Birth
65,13,HI,Hawaii,2001,67.4,17072,1,Birth
66,14,ID,Idaho,2001,73.5,20688,1,Birth
67,15,IL,Illinois,2001,67.2,184064,1,Birth
68,16,IN,Indiana,2001,65.7,86459,1,Birth
69,17,IA,Iowa,2001,61.6,37619,1,Birth
70,18,KS,Kansas,2001,67.8,38869,1,Birth
71,19,KY,Kentucky,2001,61.3,54658,1,Birth
72,20,LA,Louisiana,2001,65.6,65352,1,Birth
73,21,ME,Maine,2001,50.9,13759,1,Birth
74,22,MD,Maryland,2001,61,73218,1,Birth
75,23,MA,Massachusetts,2001,56.9,81077,1,Birth
76,24,MI,Michigan,2001,62,133427,1,Birth
77,25,MN,Minnesota,2001,61.8,67562,1,Birth
78,26,MS,Mississippi,2001,66.8,42282,1,Birth
79,27,MO,Missouri,2001,62.3,75464,1,Birth
80,28,MT,Montana,2001,59.4,10970,1,Birth
81,29,NE,Nebraska,2001,68,24820,1,Birth
82,30,NV,Nevada,2001,71.7,31382,1,Birth
83,31,NH,New Hampshire,2001,53.5,14656,1,Birth
84,32,NJ,New Jersey,2001,63.9,115795,1,Birth
85,33,NM,New Mexico,2001,69.6,27128,1,Birth
86,34,NY,New York,2001,60.4,254026,1,Birth
87,35,NC,North Carolina,2001,66.1,118185,1,Birth
88,36,ND,North Dakota,2001,57.1,7629,1,Birth
89,37,OH,Ohio,2001,62.5,151570,1,Birth
90,38,OK,Oklahoma,2001,68.4,50118,1,Birth
91,39,OR,Oregon,2001,62.6,45322,1,Birth
92,40,PA,Pennsylvania,2001,56.4,143495,1,Birth
93,41,RI,Rhode Island,2001,54.3,12713,1,Birth
94,42,SC,South Carolina,2001,62.5,55756,1,Birth
95,43,SD,South Dakota,2001,66.4,10483,1,Birth
96,44,TN,Tennessee,2001,62.6,78340,1,Birth
97,45,TX,Texas,2001,76.2,365410,1,Birth
98,46,UT,Utah,2001,89.7,47959,1,Birth
99,47,VT,Vermont,2001,48.5,6366,1,Birth
100,48,VA,Virginia,2001,61.8,98884,1,Birth
101,49,WA,Washington,2001,60.9,79570,1,Birth
102,50,WV,West Virginia,2001,55.6,20428,1,Birth
103,51,WI,Wisconsin,2001,59.6,69072,1,Birth
104,52,WY,Wyoming,2001,59.2,6115,1,Birth
105,1,US,United States,2002,64.8,4021726,1,Birth
106,2,AL,Alabama,2002,61.2,58967,1,Birth
107,3,AK,Alaska,2002,73.5,9938,1,Birth
108,4,AZ,Arizona,2002,77.8,87837,1,Birth
109,5,AR,Arkansas,2002,66.6,37437,1,Birth
110,6,CA,California,2002,68.3,529357,1,Birth
111,7,CO,Colorado,2002,69.3,68418,1,Birth
112,8,CT,Connecticut,2002,58.8,42001,1,Birth
113,9,DE,Delaware,2002,62.2,11090,1,Birth
114,10,DC,District of Columbia,2002,52.9,7498,1,Birth
115,11,FL,Florida,2002,62.5,205579,1,Birth
116,12,GA,Georgia,2002,68.4,133300,1,Birth
117,13,HI,Hawaii,2002,68.6,17477,1,Birth
118,14,ID,Idaho,2002,73.8,20970,1,Birth
119,15,IL,Illinois,2002,66.1,180622,1,Birth
120,16,IN,Indiana,2002,64.8,85081,1,Birth
121,17,IA,Iowa,2002,61.7,37559,1,Birth
122,18,KS,Kansas,2002,68.7,39412,1,Birth
123,19,KY,Kentucky,2002,60.5,54233,1,Birth
124,20,LA,Louisiana,2002,65.4,64872,1,Birth
125,21,ME,Maine,2002,49.8,13559,1,Birth
126,22,MD,Maryland,2002,60.6,73323,1,Birth
127,23,MA,Massachusetts,2002,56.7,80645,1,Birth
128,24,MI,Michigan,2002,60.7,129967,1,Birth
129,25,MN,Minnesota,2002,62,68025,1,Birth
130,26,MS,Mississippi,2002,65.7,41518,1,Birth
131,27,MO,Missouri,2002,62.1,75251,1,Birth
132,28,MT,Montana,2002,60.3,11049,1,Birth
