Matagepercentage_id,Region_id,Region_cod,Region_desc,Year,Percentage,Age_group_Id,Age_group_desc,Type_Birth_Id,Type_birth_desc
1,1,US,United States,2000,11.3,1,Less than 20,1,Birth
2,2,AL,Alabama,2000,15.1,1,Less than 20,1,Birth
3,3,AK,Alaska,2000,11.1,1,Less than 20,1,Birth
4,4,AZ,Arizona,2000,13.8,1,Less than 20,1,Birth
5,5,AR,Arkansas,2000,16.4,1,Less than 20,1,Birth
6,6,CA,California,2000,10.1,1,Less than 20,1,Birth
7,7,CO,Colorado,2000,11.1,1,Less than 20,1,Birth
8,8,CT,Connecticut,2000,7.4,1,Less than 20,1,Birth
9,9,DE,Delaware,2000,11.8,1,Less than 20,1,Birth
10,10,DC,District of Columbia,2000,13.4,1,Less than 20,1,Birth
11,11,FL,Florida,2000,12,1,Less than 20,1,Birth
12,12,GA,Georgia,2000,13.2,1,Less than 20,1,Birth
13,13,HI,Hawaii,2000,9.7,1,Less than 20,1,Birth
14,14,ID,Idaho,2000,10.8,1,Less than 20,1,Birth
15,15,IL,Illinois,2000,10.9,1,Less than 20,1,Birth
16,16,IN,Indiana,2000,11.9,1,Less than 20,1,Birth
17,17,IA,Iowa,2000,9.6,1,Less than 20,1,Birth
18,18,KS,Kansas,2000,11.6,1,Less than 20,1,Birth
19,19,KY,Kentucky,2000,13.4,1,Less than 20,1,Birth
20,20,LA,Louisiana,2000,16.4,1,Less than 20,1,Birth
21,21,ME,Maine,2000,8.9,1,Less than 20,1,Birth
22,22,MD,Maryland,2000,9.5,1,Less than 20,1,Birth
23,23,MA,Massachusetts,2000,6.2,1,Less than 20,1,Birth
24,24,MI,Michigan,2000,10.1,1,Less than 20,1,Birth
25,25,MN,Minnesota,2000,7.9,1,Less than 20,1,Birth
26,26,MS,Mississippi,2000,18,1,Less than 20,1,Birth
27,27,MO,Missouri,2000,12.5,1,Less than 20,1,Birth
28,28,MT,Montana,2000,11.6,1,Less than 20,1,Birth
29,29,NE,Nebraska,2000,9.8,1,Less than 20,1,Birth
30,30,NV,Nevada,2000,12,1,Less than 20,1,Birth
31,31,NH,New Hampshire,2000,6.4,1,Less than 20,1,Birth
